Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleCondition,SalePrice
836,20,60,9600,reg,lvl,allpub,inside,gtl,sawyer,1fam,1story,4,7,1950,1995,gable,compshg,vinylsd,hdboard,none,0,ta,ta,cblock,Gd,TA,No,BLQ,442,Unf,0,625,1067,GasA,TA,Y,SBrkr,1067,0,0,1067,0,0,2,0,2,1,Gd,4,Min2,0,NA,Attchd,TA,Y,290,0,0,0,0,0,2,2010,1,128000
157,20,60,7200,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1950,1950,hip,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,Y,FuseF,1040,0,0,1040,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,6,2006,1,109500
1250,20,60,7200,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1950,1950,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,BLQ,534,Rec,96,246,876,GasA,TA,Y,SBrkr,988,0,0,988,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,80,0,0,0,0,5,2007,1,119000
1151,20,57,8280,ir1,lvl,allpub,inside,gtl,names,1fam,1story,6,5,1950,1950,gable,compshg,brkface,brkface,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,932,932,GasA,Ex,Y,FuseA,932,0,0,932,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Attchd,TA,Y,0,0,214,0,0,0,11,2007,1,124000
1459,20,68,9717,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1950,1996,hip,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,Mn,GLQ,49,Rec,1029,0,1078,GasA,Gd,Y,FuseA,1078,0,0,1078,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,TA,Y,366,0,112,0,0,0,4,2010,1,142125
300,20,80,14000,reg,lvl,allpub,inside,gtl,crawfor,1fam,1story,6,8,1950,2004,gable,compshg,hdboard,hdboard,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,1092,1092,GasA,Ex,Y,SBrkr,1152,0,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,TA,Y,0,36,0,0,0,0,8,2009,1,158500
647,20,60,7200,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,5,1950,1950,hip,compshg,metalsd,metalsd,none,0,ta,ta,cblock,NA,NA,NA,NA,0,NA,0,0,0,GasA,Gd,Y,SBrkr,1048,0,0,1048,0,0,1,0,3,1,TA,7,Min1,0,NA,Detchd,TA,Y,0,27,0,0,0,0,7,2008,1,98300
176,20,84,12615,reg,lvl,allpub,corner,gtl,edwards,1fam,1story,6,7,1950,2001,gable,compshg,wdshing,wd shng,none,0,ta,ta,cblock,TA,Gd,Av,ALQ,477,Unf,0,725,1202,GasA,TA,Y,SBrkr,2158,0,0,2158,1,0,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,TA,Y,0,29,39,0,0,0,6,2007,1,243000
1141,20,60,7350,reg,lvl,allpub,corner,gtl,names,1fam,1story,5,7,1951,1951,gable,compshg,hdboard,hdboard,none,0,ta,ta,cblock,TA,TA,Mn,ALQ,852,Unf,0,100,952,GasA,TA,Y,SBrkr,952,0,0,952,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,6,2008,1,139000
1224,20,89,10680,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,3,1951,1951,hip,compshg,wd sdng,wd sdng,brkface,44,ta,ta,cblock,TA,Fa,No,LwQ,756,Unf,0,1380,2136,GasA,TA,N,FuseA,2136,0,0,2136,0,0,2,0,4,1,TA,7,Mod,0,NA,Detchd,TA,Y,0,30,0,0,0,0,10,2006,1,137900
511,20,75,14559,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1951,2000,hip,compshg,wd sdng,wd sdng,brkcmn,70,gd,gd,cblock,TA,TA,No,BLQ,650,Rec,180,178,1008,GasA,Ex,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,6,Min1,2,TA,CarPort,TA,Y,324,42,0,0,168,0,6,2009,1,164900
278,20,140,19138,reg,lvl,allpub,corner,gtl,gilbert,1fam,1story,4,5,1951,1951,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,LwQ,120,Unf,0,744,864,GasA,Ex,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,6,2010,1,141000
772,20,67,8877,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,4,5,1951,1951,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,Fa,Fa,No,LwQ,836,Unf,0,0,836,GasA,TA,Y,FuseF,1220,0,0,1220,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,4,2006,1,102000
27,20,60,7200,reg,lvl,allpub,corner,gtl,names,1fam,1story,5,7,1951,2000,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,TA,Y,222,32,0,0,0,0,5,2010,1,134800
698,20,57,6420,ir1,lvl,allpub,inside,gtl,edwards,1fam,1story,5,7,1952,1952,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,pconc,Ex,Gd,Mn,LwQ,210,ALQ,551,219,980,GasA,Fa,Y,FuseA,1148,0,0,1148,0,1,1,0,2,1,TA,6,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,9,2006,1,123500
295,20,80,9600,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,5,1953,1953,hip,compshg,hdboard,hdboard,stone,238,ta,ta,cblock,TA,TA,No,GLQ,1285,Unf,0,131,1416,GasA,TA,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,TA,Y,110,0,0,0,0,0,10,2009,1,167000
648,20,85,10452,ir1,lvl,allpub,inside,gtl,edwards,1fam,1story,6,5,1953,1953,hip,compshg,wd sdng,wd sdng,stone,216,ta,ta,cblock,TA,TA,Mn,Rec,500,Unf,0,594,1094,GasA,Ex,Y,SBrkr,1094,0,0,1094,0,0,1,0,3,1,TA,5,Typ,2,Gd,Attchd,TA,Y,0,0,0,0,287,0,6,2008,1,155000
374,20,79,10634,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1953,1953,gable,compshg,metalsd,metalsd,none,0,ta,ta,pconc,TA,TA,No,BLQ,428,LwQ,180,0,608,GasA,TA,Y,SBrkr,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,NA,Attchd,TA,Y,66,0,0,0,0,0,11,2009,1,123000
1114,20,66,8923,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1953,2006,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,No,BLQ,643,Unf,0,365,1008,GasA,Gd,Y,SBrkr,1008,0,0,1008,1,0,1,0,2,1,Gd,6,Typ,0,NA,Attchd,TA,Y,0,18,0,0,0,0,5,2007,1,134500
39,20,68,7922,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,TA,Y,0,52,0,0,0,0,1,2010,1,109000
798,20,57,7677,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,5,1953,1953,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,BLQ,570,Unf,0,203,773,GasA,Gd,Y,SBrkr,773,0,0,773,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,4,2008,1,110000
890,20,128,12160,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,4,1953,1953,hip,compshg,wd sdng,wd sdng,brkface,90,ta,ta,cblock,TA,TA,No,BLQ,1024,Unf,0,481,1505,GasA,Ex,Y,SBrkr,1505,0,0,1505,1,0,1,0,2,1,TA,6,Typ,1,TA,Attchd,TA,Y,0,0,0,162,0,0,2,2009,1,149500
114,20,0,21000,reg,bnk,allpub,corner,gtl,crawfor,1fam,1story,6,5,1953,1953,hip,compshg,wd sdng,wd sdng,brkface,184,ta,ta,cblock,Gd,TA,Mn,ALQ,35,Rec,869,905,1809,GasA,TA,Y,SBrkr,2259,0,0,2259,1,0,2,0,3,1,Gd,7,Typ,2,Gd,Basment,TA,Y,166,120,192,0,0,0,10,2007,1,217000
38,20,74,8532,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1954,1990,hip,compshg,wd sdng,wd sdng,brkface,650,ta,ta,cblock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,TA,Y,0,0,0,0,0,0,10,2009,1,153000
805,20,75,9000,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,5,1954,1954,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,No,LwQ,812,Unf,0,124,936,GasA,TA,Y,SBrkr,1128,0,0,1128,0,0,1,0,2,1,TA,5,Min1,0,NA,Attchd,TA,Y,0,0,0,0,0,0,6,2006,1,118000
634,20,80,9250,reg,lvl,allpub,corner,gtl,names,1fam,1story,5,7,1954,2005,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,No,BLQ,480,LwQ,468,108,1056,GasA,TA,Y,SBrkr,1056,0,0,1056,0,1,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,390,0,0,0,0,0,7,2007,1,139400
74,20,85,10200,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1954,2003,gable,compshg,wd sdng,wd sdng,brkface,104,ta,ta,cblock,TA,TA,No,ALQ,320,BLQ,362,404,1086,GasA,Gd,Y,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,5,2010,1,144900
1315,20,60,8190,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,4,6,1954,1954,hip,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,No,Rec,732,Unf,0,216,948,GasA,Ex,Y,SBrkr,948,0,0,948,1,0,1,0,3,1,TA,5,Typ,1,TA,Detchd,TA,Y,0,36,0,0,0,0,10,2007,1,119000
1162,20,0,14778,ir1,low,allpub,culdsac,gtl,crawfor,1fam,1story,6,7,1954,2006,hip,compshg,hdboard,hdboard,brkface,72,gd,gd,cblock,TA,TA,No,BLQ,728,Unf,0,568,1296,GasA,Ex,Y,SBrkr,1640,0,0,1640,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,TA,Y,108,0,0,216,0,0,11,2008,1,224000
248,20,75,11310,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,5,1954,1954,hip,compshg,wd sdng,brkface,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,1367,1367,GasA,Ex,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,TA,Y,0,30,0,0,0,0,6,2006,1,140000
458,20,0,53227,ir1,low,allpub,culdsac,mod,clearcr,1fam,1story,4,6,1954,1994,flat,tar&grv,plywood,plywood,none,0,ta,ta,cblock,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364,GasA,Ex,Y,SBrkr,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attchd,TA,Y,224,137,0,0,0,0,3,2008,1,256000
1115,20,90,5400,reg,lvl,allpub,inside,gtl,oldtown,1fam,1story,5,7,1954,2000,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,Rec,415,Unf,0,418,833,GasA,Ex,Y,SBrkr,833,0,0,833,0,0,1,0,2,1,Gd,4,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,8,2006,1,117000
906,20,80,9920,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,5,1954,1954,gable,compshg,hdboard,hdboard,stone,110,ta,ta,cblock,TA,TA,No,Rec,354,LwQ,290,412,1056,GasA,TA,Y,SBrkr,1063,0,0,1063,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,0,164,0,0,0,2,2010,1,128000
817,20,0,11425,ir1,lvl,allpub,corner,gtl,names,1fam,1story,5,6,1954,1954,gable,compshg,brkface,brkface,none,0,ta,ta,cblock,TA,TA,No,BLQ,486,Unf,0,522,1008,GasA,Gd,Y,SBrkr,1008,0,0,1008,0,0,1,0,2,1,TA,4,Typ,1,Gd,Attchd,TA,Y,0,0,120,0,0,0,7,2006,1,137000
423,20,100,21750,reg,hls,allpub,inside,mod,mitchel,1fam,1story,5,5,1954,1954,hip,compshg,hdboard,hdboard,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,988,988,GasA,Ex,Y,FuseA,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,TA,N,0,0,0,0,0,0,2,2008,1,113000
894,20,0,13284,reg,lvl,allpub,inside,gtl,sawyer,1fam,1story,5,5,1954,1954,gable,compshg,wd sdng,plywood,none,0,ta,ta,pconc,Gd,TA,Mn,BLQ,1064,Unf,0,319,1383,GasA,TA,Y,SBrkr,1383,0,0,1383,1,0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,TA,Y,511,116,0,0,0,0,6,2008,1,165000
272,20,73,39104,ir1,low,allpub,culdsac,sev,clearcr,1fam,1story,7,7,1954,2005,flat,membran,plywood,plywood,none,0,ta,ta,cblock,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,GasA,Ex,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,5,Mod,2,TA,Attchd,TA,Y,81,0,0,0,0,0,4,2008,1,241500
979,20,68,9450,reg,bnk,allpub,inside,mod,edwards,1fam,1story,4,5,1954,1954,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,LwQ,552,Unf,0,342,894,GasA,Ex,Y,SBrkr,894,0,0,894,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,5,2007,1,110000
369,20,78,7800,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1954,1954,gable,compshg,hdboard,hdboard,brkface,200,ta,ta,pconc,TA,TA,No,LwQ,540,Unf,0,728,1268,GasA,Gd,Y,SBrkr,1268,0,0,1268,0,0,1,0,2,1,TA,7,Typ,1,Gd,Attchd,TA,Y,0,98,0,0,0,0,3,2010,1,132000
1320,20,75,10215,reg,bnk,allpub,inside,gtl,edwards,1fam,1story,4,5,1954,1954,hip,compshg,wd sdng,wd sdng,brkface,132,ta,ta,pconc,TA,TA,No,ALQ,492,Unf,0,372,864,GasA,Ex,Y,SBrkr,948,0,0,948,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,2,2007,1,111000
167,20,0,10708,ir1,lvl,allpub,inside,gtl,clearcr,1fam,1story,5,5,1955,1993,hip,compshg,wd sdng,wd sdng,none,0,gd,gd,cblock,TA,TA,No,LwQ,379,BLQ,768,470,1617,GasA,Ex,Y,FuseA,1867,0,0,1867,1,0,1,0,2,1,TA,7,Typ,3,Gd,Attchd,TA,Y,476,0,0,0,142,0,11,2009,1,190000
968,20,0,7390,ir1,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1955,1955,hip,compshg,wd sdng,wd sdng,brkface,151,ta,ta,cblock,TA,TA,No,ALQ,902,Unf,0,196,1098,GasA,TA,Y,SBrkr,1098,0,0,1098,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,7,2008,1,135000
1126,20,60,10434,reg,lvl,allpub,inside,gtl,names,1fam,1story,4,5,1955,1955,gable,compshg,plywood,plywood,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,1005,1005,GasA,TA,Y,SBrkr,1005,0,0,1005,0,0,1,0,2,1,Fa,5,Typ,1,TA,Detchd,Fa,Y,0,0,0,0,0,0,11,2009,1,115000
855,20,102,17920,reg,lvl,allpub,inside,gtl,sawyer,1fam,1story,5,4,1955,1974,hip,compshg,wd sdng,plywood,none,0,ta,ta,cblock,TA,TA,Mn,ALQ,306,Rec,1085,372,1763,GasA,TA,Y,SBrkr,1779,0,0,1779,1,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,TA,Y,0,418,0,0,312,0,7,2006,1,170000
1295,20,60,8172,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,5,7,1955,1990,hip,compshg,wdshing,plywood,none,0,ta,ta,cblock,TA,TA,No,Rec,167,Unf,0,697,864,GasA,TA,Y,SBrkr,864,0,0,864,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,TA,N,0,0,0,0,0,0,4,2006,1,115000
77,20,0,8475,ir1,lvl,allpub,inside,gtl,names,1fam,1story,4,7,1956,1956,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,ALQ,228,Unf,0,724,952,GasA,Ex,Y,FuseA,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,TA,Y,0,0,0,0,0,0,4,2008,1,135750
425,20,72,9000,reg,lvl,allpub,inside,gtl,names,1fam,1story,6,5,1956,1956,gable,compshg,wd sdng,wd sdng,brkface,74,ta,ta,cblock,Gd,TA,No,LwQ,616,Unf,0,580,1196,GasA,Gd,Y,FuseA,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,TA,Y,0,44,0,0,0,0,5,2008,1,139000
1153,20,90,14115,ir1,lvl,allpub,inside,gtl,crawfor,1fam,1story,6,7,1956,2004,gable,compshg,stone,stone,none,0,ta,ta,pconc,TA,TA,No,ALQ,296,GLQ,547,230,1073,GasA,Ex,Y,SBrkr,1811,0,0,1811,0,0,1,0,2,1,Ex,6,Typ,1,Gd,Attchd,TA,Y,0,0,280,0,0,0,7,2006,1,230000
1095,20,74,5868,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1956,2000,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,BLQ,248,Rec,240,448,936,GasA,Ex,Y,SBrkr,936,0,0,936,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,TA,Y,0,0,80,0,160,0,5,2010,1,129000
1071,20,72,10152,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,5,1956,1956,hip,compshg,metalsd,metalsd,brkface,120,ta,ta,cblock,TA,TA,No,BLQ,586,Unf,0,462,1048,GasA,TA,Y,SBrkr,1048,0,0,1048,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,20,0,0,192,0,6,2007,1,135000
918,20,0,17140,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,4,6,1956,1956,gable,compshg,vinylsd,vinylsd,none,0,ta,ta,cblock,TA,TA,No,ALQ,1059,Unf,0,75,1134,GasA,Ex,Y,FuseA,1229,0,0,1229,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,4,2009,1,135000
1123,20,0,8926,ir1,lvl,allpub,corner,gtl,edwards,1fam,1story,4,3,1956,1956,gable,compshg,asbshng,asbshng,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,672,672,GasA,Ex,Y,FuseA,960,0,0,960,0,0,1,0,3,1,TA,5,Typ,0,NA,Basment,TA,Y,64,0,0,0,160,0,10,2009,1,112000
396,20,68,9571,reg,lvl,allpub,inside,gtl,edwards,1fam,1story,5,6,1956,1956,gable,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,Av,BLQ,739,Unf,0,405,1144,GasA,TA,Y,SBrkr,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,TA,Y,44,0,0,0,0,0,6,2010,1,129000
527,20,70,13300,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,7,1956,2000,hip,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,Gd,TA,No,Rec,377,Unf,0,551,928,GasA,TA,Y,SBrkr,928,0,0,928,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,TA,Y,261,0,156,0,0,0,6,2007,1,132000
1262,20,80,9600,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1956,1956,hip,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,Rec,504,Unf,0,546,1050,GasA,Gd,Y,SBrkr,1050,0,0,1050,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,TA,Y,0,0,0,0,0,0,6,2009,1,128900
446,20,73,9855,reg,lvl,allpub,corner,gtl,edwards,1fam,1story,6,5,1956,1956,hip,compshg,wd sdng,wd sdng,none,0,ta,ta,cblock,TA,TA,No,Unf,0,Unf,0,1436,1436,GasA,Fa,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,TA,Y,0,0,0,0,0,0,11,2009,1,127500
669,20,0,14175,reg,bnk,allpub,corner,mod,sawyer,1fam,1story,5,6,1956,1987,gable,compshg,cemntbd,wd sdng,none,0,ta,ta,cblock,TA,TA,No,Rec,988,Unf,0,200,1188,GasA,Gd,Y,SBrkr,1437,0,0,1437,1,0,1,1,3,1,TA,6,Min2,1,TA,Detchd,TA,Y,304,0,0,0,0,0,11,2006,1,168000
255,20,70,8400,reg,lvl,allpub,inside,gtl,names,1fam,1story,5,6,1957,1957,gable,compshg,metalsd,metalsd,none,0,ta,ta,cblock,TA,TA,No,Rec,922,Unf,0,392,1314,GasA,TA,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,TA,Y,250,0,0,0,0,0,6,2010,1,145000
